scale,config_id,config,memtable,compaction,bloom,repeat,run_id,seed,tput_kops,waf,raf,saf,bloom_fpr_pct,ahlc_switches
1000000,0,Skip|Leveling|Unif  ,SkipList,Leveling,Uniform,1,1,42,28.0287,35.0709,0.5937,5.2509,0.2487,0
1000000,0,Skip|Leveling|Unif  ,SkipList,Leveling,Uniform,2,2,43,33.9656,19.1248,0.5870,5.8603,0.2544,0
1000000,0,Skip|Leveling|Unif  ,SkipList,Leveling,Uniform,3,3,44,31.9727,16.2244,0.5889,6.4829,0.2689,0
1000000,0,Skip|Leveling|Unif  ,SkipList,Leveling,Uniform,4,4,45,42.3136,45.0387,0.5913,4.2124,0.2464,0
1000000,0,Skip|Leveling|Unif  ,SkipList,Leveling,Uniform,5,5,46,43.9138,24.0899,0.5885,4.5979,0.2522,0
1000000,1,Skip|Leveling|Adpt  ,SkipList,Leveling,Adaptive,1,101,42,39.9350,15.7062,2.2410,5.1896,45.6521,0
1000000,1,Skip|Leveling|Adpt  ,SkipList,Leveling,Adaptive,2,102,43,41.0316,34.0225,2.2440,5.0014,49.5538,0
1000000,1,Skip|Leveling|Adpt  ,SkipList,Leveling,Adaptive,3,103,44,34.4553,25.9774,2.1506,5.4691,44.9990,0
1000000,1,Skip|Leveling|Adpt  ,SkipList,Leveling,Adaptive,4,104,45,36.3898,27.0303,2.1862,5.3798,47.5120,0
1000000,1,Skip|Leveling|Adpt  ,SkipList,Leveling,Adaptive,5,105,46,35.0385,15.6997,2.2060,5.9621,43.2135,0
1000000,2,Skip|AHLC    |Unif  ,SkipList,AHLC,Uniform,1,201,42,30.7868,22.7716,0.6848,6.2793,0.2586,43
1000000,2,Skip|AHLC    |Unif  ,SkipList,AHLC,Uniform,2,202,43,30.1692,18.3923,0.6587,6.6611,0.2660,49
1000000,2,Skip|AHLC    |Unif  ,SkipList,AHLC,Uniform,3,203,44,28.2674,21.8262,0.6591,7.2479,0.2601,49
1000000,2,Skip|AHLC    |Unif  ,SkipList,AHLC,Uniform,4,204,45,26.2856,20.1692,0.6625,7.6747,0.2565,49
1000000,2,Skip|AHLC    |Unif  ,SkipList,AHLC,Uniform,5,205,46,27.7889,24.7356,0.6574,7.2807,0.2422,49
1000000,3,Skip|AHLC    |Adpt  ,SkipList,AHLC,Adaptive,1,301,42,28.8706,27.7056,2.5613,6.7375,40.6295,49
1000000,3,Skip|AHLC    |Adpt  ,SkipList,AHLC,Adaptive,2,302,43,27.1550,24.8845,2.5265,7.3047,37.9247,49
1000000,3,Skip|AHLC    |Adpt  ,SkipList,AHLC,Adaptive,3,303,44,25.9471,25.3125,2.5309,7.3991,38.1123,49
1000000,3,Skip|AHLC    |Adpt  ,SkipList,AHLC,Adaptive,4,304,45,24.5971,24.1974,2.4960,7.9531,35.5822,49
