scale,config_id,config,memtable,compaction,bloom,repeat,run_id,seed,tput_kops,waf,raf,saf,bloom_fpr_pct,ahlc_switches
200000,0,Skip|Leveling|Unif  ,SkipList,Leveling,Uniform,1,1,42,32.3863,85.1527,0.5595,27.8349,0.2466,0
200000,0,Skip|Leveling|Unif  ,SkipList,Leveling,Uniform,2,2,43,43.2179,31.4722,0.5784,24.4286,0.2504,0
200000,0,Skip|Leveling|Unif  ,SkipList,Leveling,Uniform,3,3,44,40.3654,9.4104,0.5616,24.4663,0.2535,0
200000,0,Skip|Leveling|Unif  ,SkipList,Leveling,Uniform,4,4,45,42.5613,11.7871,0.5627,24.8801,0.2555,0
200000,0,Skip|Leveling|Unif  ,SkipList,Leveling,Uniform,5,5,46,33.2408,9.6745,0.5537,24.9684,0.2463,0
200000,1,Skip|Leveling|Adpt  ,SkipList,Leveling,Adaptive,1,101,42,34.1093,7.4153,2.0550,25.5489,46.8373,0
200000,1,Skip|Leveling|Adpt  ,SkipList,Leveling,Adaptive,2,102,43,34.3752,11.4934,2.0709,25.1299,42.4828,0
200000,1,Skip|Leveling|Adpt  ,SkipList,Leveling,Adaptive,3,103,44,39.9495,8.3484,2.2208,25.6787,47.6558,0
200000,1,Skip|Leveling|Adpt  ,SkipList,Leveling,Adaptive,4,104,45,40.0482,4.9139,2.4794,26.4629,50.5880,0
200000,1,Skip|Leveling|Adpt  ,SkipList,Leveling,Adaptive,5,105,46,38.6007,10.8404,1.9737,26.0154,44.5759,0
200000,2,Skip|AHLC    |Unif  ,SkipList,AHLC,Uniform,1,201,42,39.3921,7.3194,0.6278,26.5687,0.2580,9
200000,2,Skip|AHLC    |Unif  ,SkipList,AHLC,Uniform,2,202,43,38.8923,6.0136,0.6319,27.2605,0.2696,8
200000,2,Skip|AHLC    |Unif  ,SkipList,AHLC,Uniform,3,203,44,38.3267,5.7336,0.6186,27.8827,0.2874,9
200000,2,Skip|AHLC    |Unif  ,SkipList,AHLC,Uniform,4,204,45,39.5486,13.2885,0.6099,25.4603,0.2288,9
200000,2,Skip|AHLC    |Unif  ,SkipList,AHLC,Uniform,5,205,46,41.2702,5.7072,0.6388,26.0266,0.2669,9
200000,3,Skip|AHLC    |Adpt  ,SkipList,AHLC,Adaptive,1,301,42,40.2009,9.1484,2.7255,26.1164,46.2400,9
200000,3,Skip|AHLC    |Adpt  ,SkipList,AHLC,Adaptive,2,302,43,38.7268,5.8113,3.1602,26.8364,47.3631,9
200000,3,Skip|AHLC    |Adpt  ,SkipList,AHLC,Adaptive,3,303,44,38.2736,11.3971,2.7226,26.3298,44.5274,9
200000,3,Skip|AHLC    |Adpt  ,SkipList,AHLC,Adaptive,4,304,45,38.4577,5.7988,3.1488,27.0904,46.8168,9
200000,3,Skip|AHLC    |Adpt  ,SkipList,AHLC,Adaptive,5,305,46,36.3160,9.1291,2.7824,27.0784,45.1184,9
200000,4,CSB+|Leveling|Unif  ,CSB+,Leveling,Uniform,1,401,42,35.8812,7.7869,0.5535,27.5590,0.2835,0
200000,4,CSB+|Leveling|Unif  ,CSB+,Leveling,Uniform,2,402,43,37.4208,13.9117,0.5611,25.2789,0.2375,0
200000,4,CSB+|Leveling|Unif  ,CSB+,Leveling,Uniform,3,403,44,41.1313,7.4794,0.5560,25.8180,0.2692,0
200000,4,CSB+|Leveling|Unif  ,CSB+,Leveling,Uniform,4,404,45,39.9288,9.3964,0.5603,25.9960,0.2473,0
200000,4,CSB+|Leveling|Unif  ,CSB+,Leveling,Uniform,5,405,46,40.6600,4.9145,0.5657,26.5777,0.2705,0
200000,5,CSB+|Leveling|Adpt  ,CSB+,Leveling,Adaptive,1,501,42,39.5022,11.9418,1.9333,26.1839,43.1425,0
200000,5,CSB+|Leveling|Adpt  ,CSB+,Leveling,Adaptive,2,502,43,39.1290,7.4215,2.0525,26.8496,43.9893,0
200000,5,CSB+|Leveling|Adpt  ,CSB+,Leveling,Adaptive,3,503,44,38.8498,9.2702,2.1423,26.8788,41.3674,0
200000,5,CSB+|Leveling|Adpt  ,CSB+,Leveling,Adaptive,4,504,45,38.7218,8.3364,2.3147,27.5751,45.2636,0
200000,5,CSB+|Leveling|Adpt  ,CSB+,Leveling,Adaptive,5,505,46,38.4761,4.9145,2.5321,28.1507,47.3242,0
200000,6,CSB+|AHLC    |Unif  ,CSB+,AHLC,Uniform,1,601,42,38.6435,13.1495,0.6260,26.5855,0.2546,9
200000,6,CSB+|AHLC    |Unif  ,CSB+,AHLC,Uniform,2,602,43,39.8941,7.0808,0.6178,27.0544,0.2611,9
200000,6,CSB+|AHLC    |Unif  ,CSB+,AHLC,Uniform,3,603,44,39.3174,5.7159,0.6345,27.6764,0.2727,9
200000,6,CSB+|AHLC    |Unif  ,CSB+,AHLC,Uniform,4,604,45,39.0187,10.3978,0.6120,27.3653,0.2559,9
200000,6,CSB+|AHLC    |Unif  ,CSB+,AHLC,Uniform,5,605,46,26.5435,5.7910,0.6399,27.9153,0.2739,9
200000,7,CSB+|AHLC    |Adpt ←CASCADE,CSB+,AHLC,Adaptive,1,701,42,29.6882,9.1484,2.7709,27.9853,43.5477,9
200000,7,CSB+|AHLC    |Adpt ←CASCADE,CSB+,AHLC,Adaptive,2,702,43,35.1277,5.8113,3.1885,28.7097,44.2772,9
200000,7,CSB+|AHLC    |Adpt ←CASCADE,CSB+,AHLC,Adaptive,3,703,44,34.5926,13.9360,2.7137,26.4102,41.6154,9
200000,7,CSB+|AHLC    |Adpt ←CASCADE,CSB+,AHLC,Adaptive,4,704,45,39.4744,16.1079,2.6802,24.7931,49.6311,10
200000,7,CSB+|AHLC    |Adpt ←CASCADE,CSB+,AHLC,Adaptive,5,705,46,38.8272,21.7752,2.5480,25.3370,46.2545,10
