scale,workload,hysteresis_epochs,tau_v,ahlc_switches,throughput_kops,waf
1000000,F(50R/50RMW),0,5000,174,367.766,11.8031
1000000,F(50R/50RMW),0,10000,174,370.771,11.806
1000000,F(50R/50RMW),0,20000,174,364.376,11.8126
1000000,F(50R/50RMW),0,50000,174,365.587,11.8063
1000000,F(50R/50RMW),1,5000,84,374.313,11.5085
1000000,F(50R/50RMW),1,10000,84,370.479,11.5152
1000000,F(50R/50RMW),1,20000,84,373.417,11.5123
1000000,F(50R/50RMW),1,50000,84,367.053,11.5053
1000000,F(50R/50RMW),2,5000,60,378.38,10.5526
1000000,F(50R/50RMW),2,10000,60,374.235,10.5594
1000000,F(50R/50RMW),2,20000,60,382.167,10.5599
1000000,F(50R/50RMW),2,50000,60,380.76,10.5579
1000000,F(50R/50RMW),3,5000,43,369.188,12.427
1000000,F(50R/50RMW),3,10000,43,369.224,12.4248
1000000,F(50R/50RMW),3,20000,43,372.599,12.4179
1000000,F(50R/50RMW),3,50000,43,361.668,12.4086
1000000,F(50R/50RMW),5,5000,30,340.015,14.3123
1000000,F(50R/50RMW),5,10000,30,333.818,14.2937
1000000,F(50R/50RMW),5,20000,30,333.445,14.3026
1000000,F(50R/50RMW),5,50000,30,340.89,14.2934
1000000,F(50R/50RMW),8,5000,21,369.919,11.4373
1000000,F(50R/50RMW),8,10000,21,381.959,11.4445
1000000,F(50R/50RMW),8,20000,21,380.924,11.4301
1000000,F(50R/50RMW),8,50000,21,373.988,11.4365
