scale,workload,hysteresis_epochs,tau_v,ahlc_switches,throughput_kops,waf
500000,F(50R/50RMW),0,5000,71,569.37,7.16652
500000,F(50R/50RMW),0,10000,71,569.609,7.17489
500000,F(50R/50RMW),0,20000,71,565.979,7.17991
500000,F(50R/50RMW),0,50000,71,560.288,7.16915
500000,F(50R/50RMW),1,5000,36,611.652,6.74605
500000,F(50R/50RMW),1,10000,36,607.481,6.75084
500000,F(50R/50RMW),1,20000,36,606.228,6.75021
500000,F(50R/50RMW),1,50000,36,611.713,6.74605
500000,F(50R/50RMW),2,5000,26,596.574,6.13664
500000,F(50R/50RMW),2,10000,26,539.517,6.1408
500000,F(50R/50RMW),2,20000,26,584.409,6.13247
500000,F(50R/50RMW),2,50000,26,584.168,6.14305
500000,F(50R/50RMW),3,5000,21,560.549,7.94215
500000,F(50R/50RMW),3,10000,21,554.051,7.92671
500000,F(50R/50RMW),3,20000,21,563.338,7.9274
500000,F(50R/50RMW),3,50000,21,563.655,7.92758
500000,F(50R/50RMW),5,5000,14,557.516,7.77365
500000,F(50R/50RMW),5,10000,14,560.588,7.76678
500000,F(50R/50RMW),5,20000,14,557.867,7.77416
500000,F(50R/50RMW),5,50000,14,558.193,7.76265
500000,F(50R/50RMW),8,5000,10,632.626,5.45022
500000,F(50R/50RMW),8,10000,10,633.343,5.45351
500000,F(50R/50RMW),8,20000,10,628.885,5.44338
500000,F(50R/50RMW),8,50000,10,626.03,5.44681
