scale,run_id,workload,throughput_kops,p50_us,p99_us,elapsed_s,ok
100000,1,A(50R/50U),291.051,3.167,7.375,0.343582,1
100000,1,B(95R/5U),1132.27,0.666,3.958,0.0883184,1
100000,1,C(100R),2486.98,0.292,1.583,0.0402094,1
100000,1,D(95R/5I),1049.79,0.708,3.916,0.095257,1
100000,1,E(95Scan/5I),155.226,4.083,13.208,0.644221,1
100000,1,F(50R/50RMW),317.66,3.125,6,0.314802,1
100000,1,W(1R/99W),189.454,3.417,7.042,0.527832,1
100000,1,RW(50R/50W),321.175,3.125,5.667,0.311357,1
100000,1,RSW(25R/25W/50S),198.702,4.125,12.042,0.503266,1
100000,1,RS(47R/47W/6S),289.89,3.25,9.959,0.344958,1
100000,1,R(95R/5W),1144.54,0.666,3.875,0.0873716,1
500000,1,A(50R/50U),267.837,3.291,7.833,1.8668,1
500000,2,A(50R/50U),271.734,3.291,7.541,1.84003,1
500000,3,A(50R/50U),257.843,3.333,7.833,1.93916,1
500000,4,A(50R/50U),271.777,3.291,7.292,1.83974,1
500000,5,A(50R/50U),276.128,3.25,6.875,1.81075,1
500000,1,B(95R/5U),726.883,0.917,4.959,0.687868,1
500000,2,B(95R/5U),717.435,0.917,4.792,0.696927,1
500000,3,B(95R/5U),702.599,0.917,5.25,0.711643,1
500000,4,B(95R/5U),716.656,0.917,4.542,0.697685,1
500000,5,B(95R/5U),753.575,0.875,4.167,0.663504,1
500000,1,C(100R),1329.04,0.458,2.125,0.376211,1
500000,2,C(100R),1331.26,0.458,2.166,0.375584,1
500000,3,C(100R),1332.69,0.458,2.125,0.375181,1
500000,4,C(100R),1335.98,0.458,2.084,0.374257,1
500000,5,C(100R),1331.79,0.458,2.167,0.375434,1
500000,1,D(95R/5I),615.488,1.084,5.042,0.812363,1
500000,2,D(95R/5I),611.114,1.125,5.042,0.818178,1
500000,3,D(95R/5I),622.854,1.084,4.792,0.802757,1
500000,4,D(95R/5I),620.061,1.084,4.542,0.806372,1
500000,5,D(95R/5I),633.039,1.083,4.583,0.789841,1
500000,1,E(95Scan/5I),126.322,4.875,15.167,3.95815,1
500000,2,E(95Scan/5I),129.18,4.917,15.667,3.87057,1
500000,3,E(95Scan/5I),128.644,4.791,15.292,3.8867,1
500000,4,E(95Scan/5I),134.146,4.542,14.667,3.72729,1
500000,5,E(95Scan/5I),129.262,4.333,14.708,3.86811,1
500000,1,F(50R/50RMW),283.391,3.208,6.625,1.76434,1
500000,2,F(50R/50RMW),283.218,3.208,6.625,1.76543,1
500000,3,F(50R/50RMW),272.09,3.25,7.25,1.83763,1
500000,4,F(50R/50RMW),270.168,3.25,7.125,1.8507,1
500000,5,F(50R/50RMW),270.115,3.25,6.792,1.85106,1
500000,1,W(1R/99W),178.275,3.333,9.083,2.80466,1
500000,2,W(1R/99W),180.557,3.333,8.666,2.7692,1
500000,3,W(1R/99W),139.713,3.375,8.959,3.57876,1
500000,4,W(1R/99W),131.651,3.5,9,3.79792,1
500000,5,W(1R/99W),156.514,3.292,8.541,3.19461,1
500000,1,RW(50R/50W),214.759,3.25,8.084,2.3282,1
500000,2,RW(50R/50W),211.301,3.25,7.084,2.3663,1
500000,3,RW(50R/50W),203.004,3.291,8,2.46301,1
500000,4,RW(50R/50W),214.411,3.291,8.084,2.33197,1
500000,5,RW(50R/50W),222.242,3.25,8.625,2.2498,1
500000,1,RSW(25R/25W/50S),149.901,4.458,13.75,3.33553,1
500000,2,RSW(25R/25W/50S),143.135,4.584,13.458,3.49319,1
500000,3,RSW(25R/25W/50S),151.377,4.375,13.459,3.30301,1
500000,4,RSW(25R/25W/50S),153.326,4.375,13.75,3.26103,1
500000,5,RSW(25R/25W/50S),156.164,4.375,13.375,3.20176,1
500000,1,RS(47R/47W/6S),216.68,3.292,12.833,2.30755,1
500000,2,RS(47R/47W/6S),214.149,3.292,12.708,2.33482,1
500000,3,RS(47R/47W/6S),191.613,3.334,13.125,2.60942,1
500000,4,RS(47R/47W/6S),204.52,3.333,13.375,2.44475,1
500000,5,RS(47R/47W/6S),207.484,3.333,13.583,2.40982,1
500000,1,R(95R/5W),668.507,0.916,4.333,0.747936,1
500000,2,R(95R/5W),703.199,0.916,4.375,0.711037,1
500000,3,R(95R/5W),719.049,0.916,4.291,0.695363,1
500000,4,R(95R/5W),724.917,0.875,4.125,0.689735,1
500000,5,R(95R/5W),698.337,0.917,4.792,0.715987,1
100000,1,A(50R/50U),285.217,3.125,6.625,0.35061,1
100000,2,A(50R/50U),229.498,3.125,6.833,0.435734,1
100000,3,A(50R/50U),231.45,3.125,8.167,0.432058,1
100000,4,A(50R/50U),229.301,3.125,6.417,0.436108,1
100000,5,A(50R/50U),236.137,3.125,6.459,0.423482,1
100000,1,B(95R/5U),1105.39,0.667,3.875,0.0904655,1
100000,2,B(95R/5U),1067.56,0.625,5.25,0.0936712,1
100000,3,B(95R/5U),1118.39,0.666,3.875,0.089414,1
100000,4,B(95R/5U),1089.28,0.625,5.125,0.0918038,1
100000,5,B(95R/5U),1083.51,0.666,5.167,0.0922926,1
100000,1,C(100R),2485.18,0.292,1.667,0.0402385,1
