scale,run_id,config,workload,throughput_ops_s,waf,raf,saf,bloom_fpr,p50_us,p99_us,p999_us,ahlc_switches,elapsed_s,outlier
100000,1,Baseline,A(50R/50U),1090661.7130,3.0026,0.2047,0.7316,0.0022,0.2000,1.6000,3.2000,0,0.0917,no
100000,1,CASCADE,A(50R/50U),1087000.8288,3.0550,0.2195,0.6973,0.0022,0.2000,1.6000,3.2000,4,0.0920,no
100000,1,Baseline,B(95R/5U),2567141.4672,3.7510,0.0465,0.8953,0.0026,0.2000,1.6000,3.2000,0,0.0390,no
100000,1,CASCADE,B(95R/5U),3154773.1718,3.5761,0.0561,0.8982,0.0029,0.2000,1.6000,3.2000,2,0.0317,no
100000,1,Baseline,C(100R),3200874.8375,4.0154,0.0726,0.9829,0.0022,0.2000,1.6000,3.2000,0,0.0312,no
100000,1,CASCADE,C(100R),3156470.1056,3.8237,0.0808,0.9861,0.0021,0.2000,1.6000,3.2000,2,0.0317,no
100000,1,Baseline,D(95R/5I),2016457.6417,3.8325,0.0741,0.9699,0.0025,0.2000,1.6000,3.2000,0,0.0496,no
100000,1,CASCADE,D(95R/5I),2264937.2783,3.6579,0.0902,0.9728,0.0025,0.2000,1.6000,3.2000,3,0.0442,no
100000,1,Baseline,E(95Scan/5I),131390.8222,3.1273,0.0000,0.6942,0.0000,0.0000,0.0000,0.0000,0,0.7611,no
100000,1,CASCADE,E(95Scan/5I),152032.4747,2.9961,0.0000,0.7010,0.0000,0.0000,0.0000,0.0000,4,0.6578,no
100000,1,Baseline,F(50R/50RMW),986022.7236,3.0026,0.2047,0.7316,0.0022,0.2000,1.6000,3.2000,0,0.1014,no
100000,1,CASCADE,F(50R/50RMW),1020544.8434,3.0550,0.2195,0.6973,0.0022,0.2000,1.6000,3.2000,4,0.0980,no
100000,1,Baseline,W(1R/99W),699730.8968,3.1541,0.2599,0.5811,0.0000,0.4000,1638.4000,3276.8000,0,0.1429,no
