scale,run_id,config,workload,throughput_ops_s,waf,raf,saf,bloom_fpr,p50_us,p99_us,p999_us,ahlc_switches,elapsed_s,outlier
100000,1,Baseline,A(50R/50U),1069510.1376,3.0026,0.2047,0.7316,0.0022,0.2000,1.6000,3.2000,0,0.0935,no
100000,1,CASCADE,A(50R/50U),1071293.2250,3.0550,0.2195,0.6973,0.0022,0.2000,1.6000,3.2000,4,0.0933,no
100000,1,Baseline,B(95R/5U),2586413.1630,3.7510,0.0465,0.8953,0.0026,0.2000,1.6000,3.2000,0,0.0387,no
100000,1,CASCADE,B(95R/5U),3197075.7755,3.5761,0.0561,0.8982,0.0029,0.2000,1.6000,3.2000,2,0.0313,no
100000,1,Baseline,C(100R),3228032.2319,4.0154,0.0726,0.9829,0.0022,0.2000,1.6000,3.2000,0,0.0310,no
100000,1,CASCADE,C(100R),3189267.1211,3.8237,0.0808,0.9861,0.0021,0.2000,1.6000,3.2000,2,0.0314,no
100000,1,Baseline,D(95R/5I),2032210.5370,3.8325,0.0741,0.9699,0.0025,0.2000,1.6000,3.2000,0,0.0492,no
100000,1,CASCADE,D(95R/5I),2435808.8255,3.6579,0.0902,0.9728,0.0025,0.2000,1.6000,3.2000,3,0.0411,no
100000,1,Baseline,E(95Scan/5I),136102.8523,3.1273,0.0000,0.6942,0.0000,0.0000,0.0000,0.0000,0,0.7347,no
100000,1,CASCADE,E(95Scan/5I),155670.1188,2.9961,0.0000,0.7010,0.0000,0.0000,0.0000,0.0000,4,0.6424,no
100000,1,Baseline,F(50R/50RMW),1074464.8979,3.0026,0.2047,0.7316,0.0022,0.2000,1.6000,3.2000,0,0.0931,no
100000,1,CASCADE,F(50R/50RMW),1071288.9213,3.0550,0.2195,0.6973,0.0022,0.2000,1.6000,3.2000,4,0.0933,no
100000,1,Baseline,W(1R/99W),737889.6172,3.1541,0.2599,0.5811,0.0000,0.4000,1638.4000,3276.8000,0,0.1355,no
100000,1,CASCADE,W(1R/99W),731871.0920,2.6031,0.3371,0.6592,0.0046,0.2000,1638.4000,1638.4000,5,0.1366,no
100000,1,Baseline,RW(50R/50W),1094244.0443,3.0026,0.2047,0.7316,0.0022,0.2000,1.6000,3.2000,0,0.0914,no
100000,1,CASCADE,RW(50R/50W),1086364.1345,3.0550,0.2195,0.6973,0.0022,0.2000,1.6000,3.2000,4,0.0921,no
100000,1,Baseline,RSW(25R/25W/50S),142802.0876,3.4559,0.1296,0.8057,0.0022,0.4000,1.6000,3.2000,0,0.7003,no
100000,1,CASCADE,RSW(25R/25W/50S),149315.1661,3.0761,0.1724,0.8183,0.0023,0.2000,1.6000,1.6000,3,0.6697,no
100000,1,Baseline,RS(47R/47W/6S),567731.1558,3.0593,0.1943,0.7525,0.0022,0.2000,1.6000,3.2000,0,0.1761,no
100000,1,CASCADE,RS(47R/47W/6S),597846.2600,3.1129,0.2202,0.7170,0.0021,0.2000,1.6000,3.2000,4,0.1673,no
100000,1,Baseline,R(95R/5W),2539475.5765,3.7510,0.0465,0.8953,0.0026,0.2000,1.6000,3.2000,0,0.0394,no
100000,1,CASCADE,R(95R/5W),3211239.3377,3.5761,0.0561,0.8982,0.0029,0.2000,1.6000,3.2000,2,0.0311,no
100000,2,Baseline,A(50R/50U),1077058.1234,2.9957,0.1982,0.7292,0.0020,0.2000,1.6000,3.2000,0,0.0928,no
100000,2,CASCADE,A(50R/50U),1098353.4309,3.0478,0.2163,0.6949,0.0018,0.2000,1.6000,3.2000,4,0.0910,no
100000,2,Baseline,B(95R/5U),2576710.8065,3.7418,0.0467,0.8925,0.0027,0.2000,1.6000,3.2000,0,0.0388,no
100000,2,CASCADE,B(95R/5U),3162909.6466,3.5675,0.0559,0.8954,0.0031,0.2000,1.6000,3.2000,2,0.0316,no
100000,2,Baseline,C(100R),3159590.9050,4.0154,0.0729,0.9829,0.0023,0.2000,1.6000,3.2000,0,0.0316,no
100000,2,CASCADE,C(100R),3136574.2530,3.8237,0.0805,0.9861,0.0020,0.2000,1.6000,3.2000,2,0.0319,no
100000,2,Baseline,D(95R/5I),2034148.2640,3.8238,0.0738,0.9669,0.0023,0.2000,1.6000,3.2000,0,0.0492,no
100000,2,CASCADE,D(95R/5I),2439686.3783,3.6498,0.0913,0.9698,0.0025,0.2000,1.6000,3.2000,3,0.0410,no
100000,2,Baseline,E(95Scan/5I),137222.9563,3.1307,0.0000,0.6957,0.0000,0.0000,0.0000,0.0000,0,0.7287,no
100000,2,CASCADE,E(95Scan/5I),155643.9715,2.9984,0.0000,0.7017,0.0000,0.0000,0.0000,0.0000,4,0.6425,no
100000,2,Baseline,F(50R/50RMW),1101089.1567,2.9957,0.1982,0.7292,0.0020,0.2000,1.6000,3.2000,0,0.0908,no
100000,2,CASCADE,F(50R/50RMW),841300.2716,3.0478,0.2167,0.6949,0.0018,0.2000,3.2000,12.8000,4,0.1189,no
100000,2,Baseline,W(1R/99W),745013.7644,3.1555,0.2768,0.5816,0.0000,0.4000,1638.4000,3276.8000,0,0.1342,no
100000,2,CASCADE,W(1R/99W),726163.8935,2.6030,0.3419,0.6591,0.0008,0.2000,1638.4000,1638.4000,5,0.1377,no
100000,2,Baseline,RW(50R/50W),1082014.9243,2.9957,0.1982,0.7292,0.0020,0.2000,1.6000,3.2000,0,0.0924,no
100000,2,CASCADE,RW(50R/50W),1084799.1981,3.0478,0.2163,0.6949,0.0018,0.2000,1.6000,3.2000,4,0.0922,no
100000,2,Baseline,RSW(25R/25W/50S),142698.2211,3.4624,0.1307,0.8077,0.0029,0.4000,1.6000,3.2000,0,0.7008,no
100000,2,CASCADE,RSW(25R/25W/50S),145522.7470,3.0821,0.1686,0.8209,0.0019,0.2000,1.6000,3.2000,3,0.6872,no
100000,2,Baseline,RS(47R/47W/6S),537527.1199,3.0603,0.1937,0.7529,0.0020,0.2000,1.6000,3.2000,0,0.1860,no
100000,2,CASCADE,RS(47R/47W/6S),574101.7005,3.1141,0.2148,0.7175,0.0021,0.2000,1.6000,3.2000,4,0.1742,no
100000,2,Baseline,R(95R/5W),2598108.3381,3.7418,0.0467,0.8925,0.0027,0.2000,1.6000,3.2000,0,0.0385,no
100000,2,CASCADE,R(95R/5W),3181053.6445,3.5675,0.0559,0.8954,0.0031,0.2000,1.6000,3.2000,2,0.0314,no
100000,3,Baseline,A(50R/50U),1094431.6685,2.9941,0.2019,0.7285,0.0022,0.2000,1.6000,3.2000,0,0.0914,no
100000,3,CASCADE,A(50R/50U),1077962.2740,3.0457,0.2180,0.6939,0.0017,0.2000,1.6000,3.2000,4,0.0928,no
100000,3,Baseline,B(95R/5U),2351707.6643,3.7405,0.0482,0.8921,0.0026,0.2000,1.6000,3.2000,0,0.0425,no
100000,3,CASCADE,B(95R/5U),3122333.0397,3.5662,0.0571,0.8949,0.0027,0.2000,1.6000,3.2000,2,0.0320,no
100000,3,Baseline,C(100R),3226747.5169,4.0154,0.0742,0.9829,0.0024,0.2000,1.6000,3.2000,0,0.0310,no
100000,3,CASCADE,C(100R),3148974.0249,3.8237,0.0810,0.9861,0.0020,0.2000,1.6000,3.2000,2,0.0318,no
100000,3,Baseline,D(95R/5I),2056671.5855,3.8224,0.0748,0.9664,0.0024,0.2000,1.6000,3.2000,0,0.0486,no
100000,3,CASCADE,D(95R/5I),2418945.1396,3.6484,0.0938,0.9693,0.0028,0.2000,1.6000,3.2000,3,0.0413,no
100000,3,Baseline,E(95Scan/5I),134028.0155,3.1272,0.0000,0.6943,0.0000,0.0000,0.0000,0.0000,0,0.7461,no
100000,3,CASCADE,E(95Scan/5I),153037.0685,2.9943,0.0000,0.6997,0.0000,0.0000,0.0000,0.0000,4,0.6534,no
100000,3,Baseline,F(50R/50RMW),948188.9818,2.9941,0.2019,0.7285,0.0022,0.2000,1.6000,3.2000,0,0.1055,no
100000,3,CASCADE,F(50R/50RMW),959142.1371,3.0457,0.2180,0.6939,0.0017,0.2000,1.6000,3.2000,4,0.1043,no
100000,3,Baseline,W(1R/99W),685969.2703,3.1545,0.2517,0.5816,0.0026,0.4000,819.2000,3276.8000,0,0.1458,no
100000,3,CASCADE,W(1R/99W),710090.2677,2.6016,0.3487,0.6582,0.0018,0.2000,1638.4000,1638.4000,5,0.1408,no
100000,3,Baseline,RW(50R/50W),1081604.8234,2.9941,0.2019,0.7285,0.0022,0.2000,1.6000,3.2000,0,0.0925,no
100000,3,CASCADE,RW(50R/50W),1077008.3478,3.0457,0.2180,0.6939,0.0017,0.2000,1.6000,3.2000,4,0.0928,no
100000,3,Baseline,RSW(25R/25W/50S),134252.2677,3.4607,0.1308,0.8076,0.0021,0.4000,1.6000,3.2000,0,0.7449,no
100000,3,CASCADE,RSW(25R/25W/50S),150538.4007,3.0802,0.1709,0.8203,0.0021,0.2000,1.6000,3.2000,3,0.6643,no
100000,3,Baseline,RS(47R/47W/6S),538297.5130,3.0554,0.1942,0.7509,0.0022,0.2000,1.6000,3.2000,0,0.1858,no
100000,3,CASCADE,RS(47R/47W/6S),572162.3026,3.1083,0.2213,0.7149,0.0018,0.2000,1.6000,3.2000,4,0.1748,no
100000,3,Baseline,R(95R/5W),2496652.9247,3.7405,0.0482,0.8921,0.0026,0.2000,1.6000,3.2000,0,0.0401,no
100000,3,CASCADE,R(95R/5W),3081798.5771,3.5662,0.0571,0.8949,0.0027,0.2000,1.6000,3.2000,2,0.0324,no
100000,4,Baseline,A(50R/50U),1062322.9499,2.9937,0.2045,0.7286,0.0024,0.2000,1.6000,3.2000,0,0.0941,no
100000,4,CASCADE,A(50R/50U),1079599.7885,3.0462,0.2182,0.6947,0.0022,0.2000,1.6000,3.2000,4,0.0926,no
100000,4,Baseline,B(95R/5U),2532684.8681,3.7482,0.0469,0.8947,0.0026,0.2000,1.6000,3.2000,0,0.0395,no
100000,4,CASCADE,B(95R/5U),3096382.6510,3.5735,0.0572,0.8975,0.0032,0.2000,1.6000,3.2000,2,0.0323,no
100000,4,Baseline,C(100R),3192882.0697,4.0154,0.0726,0.9829,0.0022,0.2000,1.6000,3.2000,0,0.0313,no
100000,4,CASCADE,C(100R),3194084.5554,3.8237,0.0803,0.9861,0.0020,0.2000,1.6000,3.2000,2,0.0313,no
100000,4,Baseline,D(95R/5I),2039905.6544,3.8305,0.0737,0.9692,0.0025,0.2000,1.6000,3.2000,0,0.0490,no
100000,4,CASCADE,D(95R/5I),2411262.9901,3.6560,0.0900,0.9721,0.0026,0.2000,1.6000,3.2000,3,0.0415,no
100000,4,Baseline,E(95Scan/5I),135822.7222,3.1286,0.0000,0.6949,0.0000,0.0000,0.0000,0.0000,0,0.7363,no
100000,4,CASCADE,E(95Scan/5I),153415.3322,2.9968,0.0000,0.7013,0.0000,0.0000,0.0000,0.0000,4,0.6518,no
100000,4,Baseline,F(50R/50RMW),1043489.6104,2.9937,0.2045,0.7286,0.0024,0.2000,1.6000,3.2000,0,0.0958,no
100000,4,CASCADE,F(50R/50RMW),1018955.1125,3.0462,0.2182,0.6947,0.0022,0.2000,1.6000,3.2000,4,0.0981,no
