# YCSB Benchmark Scale 100K Run 4
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	1.09537e+06	2.99368	0.204459	0.728568	0.00237549	0.2	1.6	3.2	0
CASCADE	A(50R/50U)	912676	3.04621	0.218239	0.694703	0.00218752	0.2	1.6	6.4	4
Baseline	B(95R/5U)	2.56206e+06	3.74824	0.0469463	0.894655	0.00261782	0.2	1.6	3.2	0
CASCADE	B(95R/5U)	3.18488e+06	3.57354	0.0572339	0.897532	0.00316628	0.2	1.6	3.2	2
Baseline	C(100R)	3.32208e+06	4.01542	0.07256	0.98294	0.00219282	0.2	1.6	3.2	0
CASCADE	C(100R)	3.23619e+06	3.82373	0.08031	0.9861	0.00199413	0.2	1.6	1.6	2
Baseline	D(95R/5I)	2.07744e+06	3.83047	0.0736962	0.969218	0.00251423	0.2	1.6	3.2	0
CASCADE	D(95R/5I)	2.43628e+06	3.65601	0.0899901	0.972094	0.00259907	0.2	1.6	3.2	3
Baseline	E(95Scan/5I)	140281	3.12856	0	0.694875	0	0	0	0	0
CASCADE	E(95Scan/5I)	160798	2.9968	0	0.701305	0	0	0	0	4
Baseline	F(50R/50RMW)	1.07715e+06	2.99368	0.204459	0.728568	0.00237549	0.2	1.6	3.2	0
CASCADE	F(50R/50RMW)	1.08732e+06	3.04621	0.218239	0.694703	0.00218752	0.2	1.6	3.2	4
Baseline	W(1R/99W)	751351	3.15421	0.284243	0.581504	0.0033389	0.4	1638.4	3276.8	0
CASCADE	W(1R/99W)	734116	2.60177	0.366632	0.65855	0.000879507	0.2	1638.4	1638.4	5
Baseline	RW(50R/50W)	1.10227e+06	2.99368	0.204479	0.728568	0.00237549	0.2	1.6	3.2	0
CASCADE	RW(50R/50W)	1.08963e+06	3.04621	0.218239	0.694703	0.00218752	0.2	1.6	3.2	4
Baseline	RSW(25R/25W/50S)	144196	3.45862	0.12995	0.806877	0.00316249	0.4	1.6	3.2	0
CASCADE	RSW(25R/25W/50S)	147575	3.07852	0.168625	0.819666	0.00227273	0.2	1.6	3.2	3
Baseline	RS(47R/47W/6S)	592220	3.05266	0.195883	0.750373	0.00189404	0.2	1.6	3.2	0
CASCADE	RS(47R/47W/6S)	609208	3.10713	0.223799	0.715818	0.00209184	0.2	1.6	3.2	4
Baseline	R(95R/5W)	2.45921e+06	3.74824	0.0469463	0.894655	0.00261782	0.2	1.6	3.2	0
CASCADE	R(95R/5W)	3.03558e+06	3.57354	0.0572339	0.897532	0.00316628	0.2	1.6	3.2	2
