# YCSB Benchmark Scale 15M Run 3
# direct_io=false
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	15830.5	154.31	0.525537	0.634758	0.00172119	0.8	6.4	12.8	0
CASCADE	A(50R/50U)	17080.6	120.585	0.586875	0.608949	0.000947702	0.8	6.4	12.8	647
Baseline	B(95R/5U)	148722	134.511	0.410928	0.894702	0.000885496	0.8	6.4	6.4	0
CASCADE	B(95R/5U)	216044	61.4692	0.47141	0.920886	0.000781135	0.8	3.2	6.4	427
Baseline	C(100R)	764747	120.303	0.204208	0.965543	0.000660212	0.8	3.2	6.4	0
CASCADE	C(100R)	746191	64.1043	0.216192	0.969268	0.000621182	0.8	3.2	12.8	397
Baseline	D(95R/5I)	107285	126.576	0.288472	0.965502	0.000931196	0.8	6.4	6.4	0
CASCADE	D(95R/5I)	140282	66.1637	0.263629	0.967454	0.00085729	0.8	6.4	6.4	433
Baseline	E(95Scan/5I)	10735.8	147.665	0	0.623634	0	0	0	0	0
CASCADE	E(95Scan/5I)	11485.5	115.643	0	0.598983	0	0	0	0	678
Baseline	F(50R/50RMW)	16471.2	154.31	0.525536	0.634758	0.00172119	0.8	6.4	12.8	0
CASCADE	F(50R/50RMW)	17027.3	120.585	0.58687	0.608949	0.000947659	0.8	6.4	12.8	647
Baseline	W(1R/99W)	7870.73	119.704	0.564684	0.510123	0.00288046	3.2	419430	838861	0
CASCADE	W(1R/99W)	8303.16	92.5904	0.619577	0.484435	0.000995014	3.2	419430	838861	935
Baseline	RW(50R/50W)	15693.6	154.31	0.525535	0.634758	0.00172114	0.8	6.4	12.8	0
CASCADE	RW(50R/50W)	16802.1	120.585	0.586871	0.608949	0.000947658	0.8	6.4	12.8	647
Baseline	RSW(25R/25W/50S)	11021.7	161.59	0.487739	0.745748	0.000993438	1.6	6.4	12.8	0
CASCADE	RSW(25R/25W/50S)	18232.3	153.579	0.560114	0.719472	0.000931114	1.6	6.4	12.8	494
Baseline	RS(47R/47W/6S)	15859	157.915	0.521737	0.641321	0.00164462	1.6	6.4	12.8	0
CASCADE	RS(47R/47W/6S)	16903.2	123.407	0.584236	0.628921	0.000945271	0.8	6.4	12.8	630
Baseline	R(95R/5W)	146723	134.511	0.410928	0.894702	0.000885496	0.8	6.4	6.4	0
CASCADE	R(95R/5W)	203470	61.4692	0.471409	0.920886	0.000781134	0.8	6.4	6.4	427
