# YCSB Benchmark Scale 500K Run 2
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	613347	6.33691	0.39932	0.648996	0.00393052	0.4	3.2	3.2	0
CASCADE	A(50R/50U)	570961	7.7735	0.483274	0.61466	0.00360666	0.2	3.2	6.4	21
Baseline	B(95R/5U)	1.32028e+06	9.1106	0.243399	0.895318	0.00473884	0.2	1.6	3.2	0
CASCADE	B(95R/5U)	1.56071e+06	8.15719	0.253071	0.901595	0.00439764	0.2	1.6	3.2	14
Baseline	C(100R)	1.64838e+06	9.13767	0.296476	0.941792	0.00517534	0.2	1.6	3.2	0
CASCADE	C(100R)	1.67328e+06	8.48354	0.329634	0.947116	0.00284508	0.2	1.6	3.2	13
Baseline	D(95R/5I)	1.05259e+06	9.22988	0.278601	0.938937	0.00520193	0.4	1.6	3.2	0
CASCADE	D(95R/5I)	1.18251e+06	8.20205	0.318324	0.948667	0.00485969	0.2	1.6	3.2	14
Baseline	E(95Scan/5I)	94276.3	6.11379	0	0.641561	0	0	0	0	0
CASCADE	E(95Scan/5I)	121048	7.48066	0	0.608728	0	0	0	0	21
Baseline	F(50R/50RMW)	619353	6.33691	0.399316	0.648996	0.00393051	0.4	3.2	3.2	0
CASCADE	F(50R/50RMW)	565223	7.7735	0.483274	0.61466	0.00360666	0.2	3.2	6.4	21
