# YCSB Benchmark Scale 5M Run 1
# Config	Workload	Tput(ops/s)	WAF	RAF	SAF	BloomFPR	P50(us)	P99(us)	P99.9(us)	AHLCSwitches
Baseline	A(50R/50U)	60996.7	82.6527	0.495146	0.614341	0.0032881	0.8	6.4	12.8	0
CASCADE	A(50R/50U)	79520	42.7948	0.560382	0.626747	0.00313367	0.8	6.4	6.4	226
Baseline	B(95R/5U)	563121	53.3266	0.379111	0.912502	0.00281093	0.8	3.2	6.4	0
CASCADE	B(95R/5U)	521517	32.2311	0.438677	0.903767	0.00303569	0.4	3.2	6.4	145
Baseline	C(100R)	1.11922e+06	58.1521	0.214465	0.95582	0.00405668	0.4	3.2	3.2	0
CASCADE	C(100R)	1.14984e+06	26.9815	0.214238	0.962992	0.00214023	0.4	3.2	3.2	138
Baseline	D(95R/5I)	372390	55.8393	0.277838	0.954039	0.00320823	0.8	3.2	6.4	0
CASCADE	D(95R/5I)	450038	26.2235	0.318587	0.964702	0.00321086	0.4	3.2	6.4	153
Baseline	E(95Scan/5I)	31451.9	81.3121	0	0.587798	0	0	0	0	0
CASCADE	E(95Scan/5I)	39495.3	42.3818	0	0.616074	0	0	0	0	235
Baseline	F(50R/50RMW)	58780.8	82.6527	0.495148	0.614341	0.00328794	0.8	6.4	12.8	0
CASCADE	F(50R/50RMW)	77023.2	42.7948	0.560381	0.626747	0.00313367	0.8	6.4	6.4	226
